Category,Symbol,TP (%),SL (%),PnL (%),WinRate,Trades,PF
Low-Cap,ORDI-USDT-SWAP,1.0,1.5,-5.33,59.7,119,0.85
Low-Cap,ORDI-USDT-SWAP,1.0,2.0,1.65,70.4,115,1.05
Low-Cap,ORDI-USDT-SWAP,1.0,2.5,-1.31,73.2,112,0.96
Low-Cap,ORDI-USDT-SWAP,1.5,0.8,-4.99,34.7,121,0.85
Low-Cap,ORDI-USDT-SWAP,1.5,1.2,-4.08,45.0,120,0.9
Low-Cap,ORDI-USDT-SWAP,1.5,1.5,-4.25,50.4,119,0.9
Low-Cap,ORDI-USDT-SWAP,1.5,2.0,1.79,60.5,114,1.04
Low-Cap,ORDI-USDT-SWAP,1.5,2.5,-3.65,63.1,111,0.93
Low-Cap,ORDI-USDT-SWAP,2.0,0.8,-3.04,29.8,121,0.92
Low-Cap,ORDI-USDT-SWAP,2.0,1.2,-6.53,36.7,120,0.86
Low-Cap,ORDI-USDT-SWAP,2.0,1.5,-11.48,39.5,119,0.78
Low-Cap,ORDI-USDT-SWAP,2.0,2.0,-8.73,48.2,114,0.85
Low-Cap,ORDI-USDT-SWAP,2.0,2.5,-9.38,53.6,110,0.84
Low-Cap,ORDI-USDT-SWAP,2.5,0.8,0.9,27.3,121,1.02
Low-Cap,ORDI-USDT-SWAP,2.5,1.2,-1.39,34.2,120,0.97
Low-Cap,ORDI-USDT-SWAP,2.5,1.5,-6.35,37.0,119,0.89
Low-Cap,ORDI-USDT-SWAP,2.5,2.0,-7.66,43.4,113,0.88
Low-Cap,ORDI-USDT-SWAP,2.5,2.5,-10.83,47.7,109,0.84
Low-Cap,ORDI-USDT-SWAP,3.0,0.8,7.4,26.4,121,1.19
Low-Cap,ORDI-USDT-SWAP,3.0,1.2,2.47,31.7,120,1.05
Low-Cap,ORDI-USDT-SWAP,3.0,1.5,-0.19,35.3,119,1.0
Low-Cap,ORDI-USDT-SWAP,3.0,2.0,-0.86,41.6,113,0.99
Low-Cap,ORDI-USDT-SWAP,3.0,2.5,-4.04,45.9,109,0.94
Low-Cap,WIF-USDT-SWAP,0.8,0.8,-9.47,45.2,126,0.67
Low-Cap,WIF-USDT-SWAP,0.8,1.2,-11.14,54.8,126,0.67
Low-Cap,WIF-USDT-SWAP,0.8,1.5,-11.94,60.0,125,0.67
Low-Cap,WIF-USDT-SWAP,0.8,2.0,-11.31,67.5,123,0.71
Low-Cap,WIF-USDT-SWAP,0.8,2.5,-10.62,72.7,121,0.73
Low-Cap,WIF-USDT-SWAP,1.0,0.8,-7.57,42.1,126,0.75
Low-Cap,WIF-USDT-SWAP,1.0,1.2,-9.91,50.8,126,0.73
Low-Cap,WIF-USDT-SWAP,1.0,1.5,-10.86,56.0,125,0.73
Low-Cap,WIF-USDT-SWAP,1.0,2.0,-11.98,62.6,123,0.73
Low-Cap,WIF-USDT-SWAP,1.0,2.5,-13.73,66.9,121,0.71
Low-Cap,WIF-USDT-SWAP,1.5,0.8,-8.13,32.5,126,0.77
Low-Cap,WIF-USDT-SWAP,1.5,1.2,-6.46,43.7,126,0.85
Low-Cap,WIF-USDT-SWAP,1.5,1.5,-7.33,48.8,125,0.84
Low-Cap,WIF-USDT-SWAP,1.5,2.0,-9.61,54.9,122,0.82
Low-Cap,WIF-USDT-SWAP,1.5,2.5,-12.54,59.2,120,0.78
Low-Cap,WIF-USDT-SWAP,2.0,0.8,-6.47,27.8,126,0.83
Low-Cap,WIF-USDT-SWAP,2.0,1.2,-8.62,35.7,126,0.82
Low-Cap,WIF-USDT-SWAP,2.0,1.5,-7.89,41.6,125,0.85
Low-Cap,WIF-USDT-SWAP,2.0,2.0,-10.86,47.5,122,0.82
Low-Cap,WIF-USDT-SWAP,2.0,2.5,-10.61,53.4,118,0.84
Low-Cap,WIF-USDT-SWAP,2.5,0.8,-1.31,26.2,126,0.97
Low-Cap,WIF-USDT-SWAP,2.5,1.2,-1.56,34.1,126,0.97
Low-Cap,WIF-USDT-SWAP,2.5,1.5,0.66,40.0,125,1.01
Low-Cap,WIF-USDT-SWAP,2.5,2.0,-8.05,43.4,122,0.88
Low-Cap,WIF-USDT-SWAP,2.5,2.5,-6.61,49.6,117,0.91
Low-Cap,WIF-USDT-SWAP,3.0,0.8,-0.73,23.0,126,0.98
Low-Cap,WIF-USDT-SWAP,3.0,1.2,0.68,31.0,126,1.01
Low-Cap,WIF-USDT-SWAP,3.0,1.5,1.8,36.0,125,1.03
Low-Cap,WIF-USDT-SWAP,3.0,2.0,-7.49,39.3,122,0.9
Low-Cap,WIF-USDT-SWAP,3.0,2.5,-3.46,46.2,117,0.96
