,timestamp,symbol,type,side,price,amount,cost,leverage,pnl_usdt,pnl_pct,fee,order_id
0,2026-05-12 23:28:21.361,UMA/USDT:USDT,청산,sell,0.5142,443.0,22.78,10x,-0.2614,-11.47,0.01139,3559913887940943873
1,2026-05-12 23:33:18.765,AAVE/USDT:USDT,청산,sell,95.7,2.0,19.14,10x,-0.2163,-11.3,0.00957,3559923867163238400
2,2026-05-12 23:33:18.765,AAVE/USDT:USDT,청산,sell,95.7,2.0,19.14,10x,-0.2163,-11.3,0.00957,3559923867163238400
3,2026-05-12 23:33:23.189,AVAX/USDT:USDT,청산,sell,9.714,1.2,11.66,10x,-0.117,-10.04,0.005828,3559924015574491136
4,2026-05-13 00:08:15.347,ARB/USDT:USDT,진입,buy,0.13621,8.5,11.58,10x,0.0,0.0,0.005789,3559994216747835392
5,2026-05-13 00:08:18.480,NMR/USDT:USDT,진입,buy,9.218,7.0,6.45,10x,0.0,0.0,0.003226,3559994321907425280
6,2026-05-13 00:08:55.702,ENS/USDT:USDT,진입,buy,6.909,14.0,9.67,10x,0.0,0.0,0.004836,3559995570870493184
7,2026-05-13 00:08:58.833,VANA/USDT:USDT,진입,buy,1.658,67.0,11.11,10x,0.0,0.0,0.005554,3559995675929419776
8,2026-05-13 00:09:38.819,TAO/USDT:USDT,진입,buy,308.3,2.0,6.17,10x,0.0,0.0,0.003083,3559997017636937728
9,2026-05-13 00:09:38.819,TAO/USDT:USDT,진입,buy,308.3,1.0,3.08,10x,0.0,0.0,0.001541,3559997017636937728
10,2026-05-13 00:12:03.212,NMR/USDT:USDT,진입,buy,9.24,7.0,6.47,10x,0.0,0.0,0.003234,3560001862662037504
11,2026-05-13 00:13:48.946,TAO/USDT:USDT,진입,buy,307.9,3.0,9.24,10x,0.0,0.0,0.004619,3560005410506350592
12,2026-05-13 00:14:29.248,ARB/USDT:USDT,진입,buy,0.13614,8.5,11.57,10x,0.0,0.0,0.005786,3560006762817069056
13,2026-05-13 00:14:32.596,EGLD/USDT:USDT,진입,buy,4.599,20.0,9.2,10x,0.0,0.0,0.004599,3560006875157307392
14,2026-05-13 00:15:14.822,TIA/USDT:USDT,진입,buy,0.4341,20.0,8.68,10x,0.0,0.0,0.004341,3560008291993198593
15,2026-05-13 00:15:17.959,TON/USDT:USDT,진입,buy,2.351,4.0,9.4,10x,0.0,0.0,0.004702,3560008397253451777
16,2026-05-13 00:16:22.692,TON/USDT:USDT,청산,sell,2.344,1.0,2.34,10x,-0.007,-2.99,0.001172,3560010569366052864
17,2026-05-13 00:16:22.692,TON/USDT:USDT,청산,sell,2.344,3.0,7.03,10x,-0.021,-2.99,0.003516,3560010569366052864
18,2026-05-13 00:16:23.156,TIA/USDT:USDT,청산,sell,0.4335,20.0,8.67,10x,-0.012,-1.38,0.004335,3560010584935309312
19,2026-05-13 00:16:23.616,EGLD/USDT:USDT,청산,sell,4.586,20.0,9.17,10x,-0.026,-2.83,0.004586,3560010600336793601
20,2026-05-13 00:16:24.070,TAO/USDT:USDT,청산,sell,306.2,6.0,18.37,10x,-0.114,-6.21,0.009186,3560010615604060160
21,2026-05-13 00:16:24.539,VANA/USDT:USDT,청산,sell,1.652,67.0,11.07,10x,-0.0402,-3.63,0.005534,3560010631341088768
22,2026-05-13 00:16:25.047,ENS/USDT:USDT,청산,sell,6.882,1.0,0.69,10x,-0.0027,-3.92,0.000344,3560010648353185792
23,2026-05-13 00:16:25.047,ENS/USDT:USDT,청산,sell,6.882,13.0,8.95,10x,-0.0351,-3.92,0.004473,3560010648353185792
24,2026-05-13 00:16:25.550,NMR/USDT:USDT,청산,sell,9.213,11.0,10.13,10x,-0.0176,-1.74,0.005067,3560010665231065088
25,2026-05-13 00:16:25.550,NMR/USDT:USDT,청산,sell,9.213,1.0,0.92,10x,-0.0016,-1.74,0.000461,3560010665231065088
26,2026-05-13 00:16:25.550,NMR/USDT:USDT,청산,sell,9.213,2.0,1.84,10x,-0.0032,-1.74,0.000921,3560010665231065088
27,2026-05-13 00:16:26.016,ARB/USDT:USDT,청산,sell,0.13583,3.8,5.16,10x,-0.0131,-2.54,0.002581,3560010680900984832
28,2026-05-13 00:16:26.017,ARB/USDT:USDT,청산,sell,0.13583,13.2,17.93,10x,-0.0455,-2.54,0.008965,3560010680900984832
29,2026-05-13 00:16:44.381,NMR/USDT:USDT,진입,buy,9.218,2.0,1.84,10x,0.0,0.0,0.000922,3560011297128128512
30,2026-05-13 00:16:44.381,NMR/USDT:USDT,진입,buy,9.219,5.0,4.61,10x,0.0,0.0,0.002305,3560011297128128512
31,2026-05-13 00:18:38.965,ARB/USDT:USDT,진입,buy,0.13581,7.8,10.59,10x,0.0,0.0,0.005297,3560015141929164800
32,2026-05-13 00:18:38.965,ARB/USDT:USDT,진입,buy,0.13581,0.7,0.95,10x,0.0,0.0,0.000475,3560015141929164800
33,2026-05-13 00:20:24.497,ARB/USDT:USDT,청산,sell,0.13584,3.8,5.16,10x,0.0011,0.22,0.002581,3560018682995482624
